月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2023-01,KS-LASER-500-LOT-202301,标准金属加工件,9412,8000,1412,153333.333,160000,120000,件,计划口径；产能及耗用待现场验证
2023-02,KS-LASER-500-LOT-202302,标准金属加工件,8471,7200,1271,138000.0,144000,108000,件,计划口径；产能及耗用待现场验证
2023-03,KS-LASER-500-LOT-202303,标准金属加工件,12000,10200,1800,195500.0,204000,153000,件,计划口径；产能及耗用待现场验证
2023-04,KS-LASER-500-LOT-202304,标准金属加工件,12471,10600,1871,203166.667,212000,159000,件,计划口径；产能及耗用待现场验证
2023-05,KS-LASER-500-LOT-202305,标准金属加工件,12942,11000,1942,210833.333,220000,165000,件,计划口径；产能及耗用待现场验证
2023-06,KS-LASER-500-LOT-202306,标准金属加工件,12353,10500,1853,201250.0,210000,157500,件,计划口径；产能及耗用待现场验证
2023-07,KS-LASER-500-LOT-202307,标准金属加工件,12706,10800,1906,207000.0,216000,162000,件,计划口径；产能及耗用待现场验证
2023-08,KS-LASER-500-LOT-202308,标准金属加工件,12706,10800,1906,207000.0,216000,162000,件,计划口径；产能及耗用待现场验证
2023-09,KS-LASER-500-LOT-202309,标准金属加工件,12236,10400,1836,199333.333,208000,156000,件,计划口径；产能及耗用待现场验证
2023-10,KS-LASER-500-LOT-202310,标准金属加工件,12000,10200,1800,195500.0,204000,153000,件,计划口径；产能及耗用待现场验证
2023-11,KS-LASER-500-LOT-202311,标准金属加工件,12471,10600,1871,203166.667,212000,159000,件,计划口径；产能及耗用待现场验证
2023-12,KS-LASER-500-LOT-202312,标准金属加工件,12942,11000,1942,210833.333,220000,165000,件,计划口径；产能及耗用待现场验证
2024-01,KS-LASER-500-LOT-202401,标准金属加工件,9883,8400,1483,161000.0,160000,120000,件,计划口径；产能及耗用待现场验证
2024-02,KS-LASER-500-LOT-202402,标准金属加工件,8895,7560,1335,144900.0,144000,108000,件,计划口径；产能及耗用待现场验证
2024-03,KS-LASER-500-LOT-202403,标准金属加工件,12600,10710,1890,205275.0,204000,153000,件,计划口径；产能及耗用待现场验证
2024-04,KS-LASER-500-LOT-202404,标准金属加工件,13095,11130,1965,213325.0,212000,159000,件,计划口径；产能及耗用待现场验证
2024-05,KS-LASER-500-LOT-202405,标准金属加工件,13589,11550,2039,221375.0,220000,165000,件,计划口径；产能及耗用待现场验证
2024-06,KS-LASER-500-LOT-202406,标准金属加工件,12971,11025,1946,211312.5,210000,157500,件,计划口径；产能及耗用待现场验证
2024-07,KS-LASER-500-LOT-202407,标准金属加工件,13342,11340,2002,217350.0,216000,162000,件,计划口径；产能及耗用待现场验证
2024-08,KS-LASER-500-LOT-202408,标准金属加工件,13342,11340,2002,217350.0,216000,162000,件,计划口径；产能及耗用待现场验证
2024-09,KS-LASER-500-LOT-202409,标准金属加工件,12848,10920,1928,209300.0,208000,156000,件,计划口径；产能及耗用待现场验证
