seed_record_id	keep_or_drop	company	title	city	job_id	url	source_type	evidence_grade	evidence_status	ai_relevance	production_metrics	notes
BYTE-001	keep	字节跳动 Seed	大语言模型预训练算法工程师-Seed	北京/上海		https://seed.bytedance.com/zh/career	official_careers_index	B	官方 Seed 招聘页本轮可读；仅岗位索引；薪资未公开	core_ai_investment		shared_index_url；页面直接给出标题和城市，但未展开职责且无岗位ID
BYTE-002	drop	BytePlus	GenAI Solution Architect - Video, Image & Multimodal GenaAI (AIGC) - (Chinese Speaker)	Dubai	7603562946976188725	https://joinbytedance.com/search/7603562946976188725	official_careers_direct	D	与 BYTE-014 为同一官方岗位；按岗位ID和URL去重剔除	core_ai_investment		duplicate_of=BYTE-014；种子将同一 BytePlus 解决方案岗概括成另一条视觉 AIGC 岗位
BYTE-003	drop	字节跳动					official_careers_index	D	旧摘要无法重现为单一官方岗位；剔除	core_ai_investment		种子把多模态视频理解与 Code AI 合并为一个候选；本轮未找到可唯一对应的原标题、岗位ID或URL
BYTE-004	keep	字节跳动	R&D Engineer, Training Infrastructure	Singapore	7660039156715882757	https://joinbytedance.com/search/7660039156715882757	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		Ray/KubeRay/Kubernetes、稳定性和可观测性均来自正文；均为研发职责，未披露已达成生产指标
BYTE-005	keep	火山引擎方舟	LLM System Backend Engineer Graduate (AML Ark) - 2027 Start	Singapore	7664493475353954613	https://joinbytedance.com/search/7664493475353954613	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment	训练吞吐；资源利用率；系统稳定性；推理性能；成本效率；可靠性	指标是职责正文明确要求优化的可观测维度，不是已达成值；正文同时覆盖 SFT/RL、PD 分离、分布式 KV Cache 和多租户
BYTE-006	keep	火山引擎方舟	Backend Engineer - ARK Large Model Platform (Singapore)	Singapore	7378000595473828133	https://joinbytedance.com/search/7378000595473828133	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment	实验成本；资源利用率	正文称平台面向企业开放并以降低实验成本、提高资源利用率为方向，但没有数值；种子中的任务编排由平台介绍支持，LoRA/RLHF/Web IDE/Service Mesh 由正文支持
BYTE-007	keep	字节跳动 Seed	Research Engineer – Agent Systems & AI Coding Environment (Seed Infra Platform)	Seattle	7610960133552654597	https://joinbytedance.com/search/7610960133552654597	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文直接支持 harness、代码执行、工具集成、沙箱、规划、记忆、协同和长时程评测；productionize 是研发预期，未填生产指标
BYTE-008	keep	字节跳动 TRAE	Machine Learning Engineer, AI Coding Tools	San Jose	7571650125270370613	https://joinbytedance.com/search/7571650125270370613	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment	时延；吞吐；准确率	正文明确要求持续优化三项指标，但未披露已达成值；岗位覆盖训练、评测、量化、部署和 GPU 集群监控
BYTE-009	keep	字节跳动 Seed	Senior/Principal Strategy Product Manager - AI Coding Product	San Jose	7632164888844503349	https://joinbytedance.com/search/7632164888844503349	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment	Correctness；语言/工具/复杂度覆盖；单元测试；Fuzzing；静态分析	这些是岗位要求定义的评测标准与维度，不是当前产品成绩；种子原标题已更正为官方产品策略岗位
BYTE-010	keep	字节跳动	Software Engineer Intern (CIS Knowledge Bank) - 2027 Fall	San Jose	7675345626188335365	https://joinbytedance.com/search/7675345626188335365	official_careers_index	C	官方搜索索引可识别完整正文；详情页本轮多次超时；岗位存续需复核	core_ai_investment	检索召回质量；采用率；可观测性	搜索索引直接支持 Prism/OneContext、权限、provenance、MCP/API；三项为职责中的评估维度，非已达成值
