record_id,record_type,source_type,company,business_line,title_or_signal,city,job_id,salary_text,monthly_min_k,monthly_max_k,salary_months,annual_min_k,annual_max_k,layer,industry,scenario,technical_route,production_metrics,ai_relevance,evidence_grade,evidence_status,url,captured_at
BOSS-001,job,BOSS_search_index,华尔街见闻,内容/实时数据/智能投研,AI 平台架构师 / 系统架构师 / CTO,上海静安区南京西路,1975f34d0335cbd103x829u6FVVZ,200-260K·24薪,200,260,24,4800,6240,platform_runtime_governance,金融科技/内容,智能投研、搜索推荐与AI平台,LLM;AI Infra;Multi-Agent,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
BOSS-002,job,BOSS_search_index,NIO蔚来,智能车控,AI 系统架构师（智能车控方向）,上海嘉定区安亭,a56a1d90d6f94d690nF639m9GVBZ,100-150K·13薪,100,150,13,1300,1950,business_application,汽车/智能终端,智能车控,AI系统架构,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
BOSS-003,job,BOSS_search_index,哈啰普惠,AI平台,AI 架构高阶岗位,上海闵行区莘庄,d2c6cfef7d79a80b03F42dy_F1VX,100-150K·15薪,100,150,15,1500,2250,platform_runtime_governance,本地生活/出行,多租户自助式AI平台,Multi-tenant AI Platform,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
BOSS-004,job,BOSS_search_index,道通科技,企业AI平台,AI Agent 平台架构师,深圳南山区科技园,385e896c623aeec30nRz3d-4GVVX,80-110K·15薪,80,110,15,1200,1650,platform_runtime_governance,企业软件,企业级Agent平台,Agent Platform;Governance,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/4c10a9367efd2f551H163d66EA~~/,2026-08-26
BOSS-006,job,BOSS_search_index,华为技术有限公司,大模型/AI架构,AI架构师,上海,c376401b0e271d9c03183di9EFZV,75-100K·16薪,75,100,16,1200,1600,base_model_compute,基础模型/ICT,大模型架构,Dense;MoE;Agent;RL;Multimodal;MFU,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/ee05903da97c0a6c1nJ629u8Ew~~/,2026-08-26
BOSS-008,job,BOSS_search_index,BOSS直聘,Agent平台,AI-Agent平台技术负责人,北京朝阳区太阳宫,44f1a19bd12905e303B_0tq9E1pT,70-100K·16薪,70,100,16,1120,1600,platform_runtime_governance,人力资源科技,Agent平台,Model Integration;Evaluation;MCP;Multimodal;Latency,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/02bb009a5a3098381nF93Nu0Eg~~/,2026-08-26
BOSS-009,job,BOSS_search_index,小米,大模型系统,AI系统架构师/大模型算法研究员,北京海淀区清河,555c16cda29739f90nZ429q9FVdT,70-100K·16薪,70,100,16,1120,1600,base_model_compute,消费电子/OS,大模型系统架构,LLM Systems,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/9dc2a4564b5ea7a33n170tq6/,2026-08-26
BOSS-010,job,BOSS_search_index,BOSS直聘,大模型Infra,大模型AI Infra技术负责人,北京朝阳区太阳宫,,70-100K,70,100,,,,base_model_compute,人力资源科技,大模型基础设施,LLM Infra,,core_ai_investment,C,BOSS搜索索引可复现有限字段；薪资月数需更正；岗位存续需复核,https://m.zhipin.com/zhaopin/02bb009a5a3098381nF93Nu0Eg~~/,2026-08-26
BOSS-011,job,BOSS_search_index,小鹏汽车,AI Infra,AI infra架构师,上海浦东新区张江,688069cad18145940nd_2tm4ElpR,65-95K·15薪,65,95,15,975,1425,base_model_compute,汽车/智能终端,AI基础设施,AI Infra,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页为加载/安全校验页；岗位存续需复核,https://www.zhipin.com/zhaopin/a1fef781326446b203Ny2928Ew~~/,2026-08-26
BOSS-012,job,BOSS_search_index,深信服科技,AI Infra,AI INFRA开发专家/架构师,深圳南山区西丽,6b74906ecd1741c203Bz0tm-EFBU,60-90K·16薪,60,90,16,960,1440,base_model_compute,企业安全/云计算,AI基础设施,AI Infra,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/4c10a9367efd2f551H163d66EA~~/,2026-08-26
BOSS-013,job,BOSS_search_index,景嘉微电子,AI芯片,AI 芯片架构师,上海浦东新区张江,372124469adfaa9e0nVz2dq-GVRY,55-85K·15薪,55,85,15,825,1275,base_model_compute,半导体,AI芯片,AI Chip Architecture,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/9e01606d2acdbfce1X1429i8/,2026-08-26
BOSS-014,job,BOSS_search_index,小米,OS AI,AI系统架构师,北京海淀区安宁庄,307bbea37a953a5603By2di5EFBT,50-80K·18薪,50,80,18,900,1440,platform_runtime_governance,消费电子/OS,系统级AI,OS AI;Agent,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/86563ba621e6216c1X1439y4/,2026-08-26
BOSS-015,job,BOSS_search_index,MiniMax,AI IaaS,AI IaaS系统架构师,上海徐汇区漕河泾,614ed226b7e12a5d03B93dS1EVVS,50-80K·16薪,50,80,16,800,1280,base_model_compute,基础模型/云计算,模型基础设施服务,AI IaaS,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
BOSS-017,job,BOSS_search_index,企查查,AI Infra/Runtime,AI Infra / 平台架构师,上海长宁区新华路,00e632fb3e77df8a0nZz3N69FFpV,50-80K·14薪,50,80,14,700,1120,platform_runtime_governance,企业数据服务,AI运行时,AI Infra;Runtime,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核,https://www.zhipin.com/zhaopin/381e35eb518921b803Z_3dS6/,2026-08-26
BOSS-018,job,BOSS_search_index,上海语生科学技术,Agent架构,AI Agent 架构师,上海浦东新区张江,599f8f92fc1c24a10nZ83du9GFpQ,50-80K,50,80,,,,platform_runtime_governance,AI应用,Agent系统,Agent Architecture,,core_ai_investment,C,BOSS搜索索引本轮可读；详情页跳转安全校验；薪资月数未公开；岗位存续需复核,https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/,2026-08-26
