seed_record_id	keep_or_drop	company	title	city	job_id	url	source_type	evidence_grade	evidence_status	ai_relevance	production_metrics	notes
JD-001	keep	京东	AI Agent产品经理	北京	212557	https://zhaopin.jd.com/web/job-info-detail?requementId=212557	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确低代码/自然语言Agent构建、Eval、线上效果追踪与成本控制；后者为职责目标而非已实现指标
JD-002	keep	京东国际	国际产研 AI Agent算法/工程专家	北京	219868	https://zhaopin.jd.com/web/job-info-detail?requementId=219868	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确A2A、A2UI、Agent Skills、Sub Agents、MCP、Coding Agent、Sandbox、Memory、Context/Harness Engineering；无已实现生产指标
JD-003	keep	京东	大模型算法工程师（AI Infra 高阶）	上海	221161	https://zhaopin.jd.com/web/job-info-detail?requementId=221161	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文称团队拥有万卡级GPU集群与数千亿token专有数据，并写“将直接部署”于零售/物流/金融场景；资源规模与未来部署表述不作为已实现生产指标
JD-004	keep	京东国际	大模型应用算法工程师（大模型/agent）	北京	220278	https://zhaopin.jd.com/web/job-info-detail?requementId=220278	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		覆盖Joybuy多语言商品理解、搜索推荐、翻译、客服与信息治理；响应效率、解决率、转化为优化目标而非已实现数值
JD-005	keep	京东科技	产品经理	北京	221791	https://zhaopin.jd.com/web/job-info-detail?requementId=221791	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	ai_adjacent_transformation		主责是反欺诈引擎产品建设并参与AI化；AI技能是重要要求但标题/职责不是纯AI研发岗位，故归AI邻接转型
JD-006	keep	京东物流	AI 架构师	北京	221903	https://zhaopin.jd.com/web/job-info-detail?requementId=221903	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		“减少人工操作成本40%+”是岗位目标；“成本降低20%+/研发效率提升30%+”是候选人既往成果要求，均未计入production_metrics
JD-007	keep	京东国际	大模型应用算法/开发专家（agent方向）	北京	219681	https://zhaopin.jd.com/web/job-info-detail?requementId=219681	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确Model Gateway、Agent Runtime、上下文状态、工具/插件注册、Streaming、Semantic Cache、熔断降级、Eval与回放；稳定性/低延迟为职责目标
JD-008	keep	京东零售	AI产品运营	北京	217376	https://zhaopin.jd.com/web/job-info-detail?requementId=217376	official_careers_index	C	官方搜索索引可读岗位全文，但详情URL本轮重定向到招聘首页；岗位存续需复核；薪资未公开	core_ai_investment		官方搜索索引近期仍含原标题、岗位ID、城市与正文；职责明确从搜索、导购到成交的AI产品规模增长；DAU、转化率、GMV是目标维度，未给实际值
JD-009	keep	京东科技	AI解决方案销售经理（零售/金融方向）	北京	219504	https://zhaopin.jd.com/web/job-info-detail?requementId=219504	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment	官方岗位说明称自研JoyAI服务近6亿用户、75万商家并提供7×24小时服务	核心是智能客服、数字员工、AI营销等AI解决方案的商业化销售；指标来自官方岗位说明的当前产品规模陈述
JD-010	keep	京东	大模型算法专家	北京	212577	https://zhaopin.jd.com/web/job-info-detail?requementId=212577	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文覆盖基座模型预训练、SFT/RLHF对齐、训练推理优化与搜索/推荐/广告落地；无已实现生产指标
JD-011	keep	京东科技	AI 安全技术专家 / 大模型安全工程师	北京	220570	https://zhaopin.jd.com/web/job-info-detail?requementId=220570	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确LLM-as-Judge、RAG、Agent、guardrail、benchmark、badcase、回归、线上shadow双跑与样本回流；召回率等仅是待建设指标体系，未给现值
JD-012	keep	京东	AI产品经理	北京	217808	https://zhaopin.jd.com/web/job-info-detail?requementId=217808	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		岗位直接面向大模型智能客服自助与人工辅助系统；解决率、ATT是待维护KPI维度，未给实际值
JD-013	keep	京东云	AI Infra优化工程师	上海	217540	https://zhaopin.jd.com/web/job-info-detail?requementId=217540	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确训练推理平台、PD分离、Attention-FFN分离、vLLM/SGLang/TensorRT-LLM与异构集群；吞吐、可用、成本、延迟均为研发目标
JD-014	keep	京东	软件开发岗（AI应用方向）	北京	220736	https://zhaopin.jd.com/web/job-info-detail?requementId=220736	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	core_ai_investment		正文明确生产级Agent/Copilot/工作流、权限、失败兜底、离线评测、回归、人工反馈、线上质量指标与trace；未给实际现网数值
JD-015	keep	京东	软件开发工程师	海南	221280	https://zhaopin.jd.com/web/job-info-detail?requementId=221280	official_careers_direct	A	官方岗位详情本轮可读；薪资未公开	ai_adjacent_transformation		主责仍是广告外投前端架构，AI创意生成、投放策略推荐、异常诊断和研发效能是其中一项转型职责；千亿级广告投放是平台目标/规模表述，未计指标
JD-016	drop	京东						D	旧摘要未保留原标题、岗位ID或URL，本轮无法建立唯一可复核对应；剔除			不得用新发现的其他岗位替换无原始字段占位记录
JD-017	drop	京东						D	旧摘要未保留原标题、岗位ID或URL，本轮无法建立唯一可复核对应；剔除			不得用新发现的其他岗位替换无原始字段占位记录
JD-018	drop	京东						D	旧摘要未保留原标题、岗位ID或URL，本轮无法建立唯一可复核对应；剔除			不得用新发现的其他岗位替换无原始字段占位记录
HUAWEI-001	keep	华为	AI大模型架构师（训练/推理）	北京	28183	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=28183	official_careers_direct	A	官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开	core_ai_investment		正文明确MFU、Dense/MoE/Agent/RL、多模态、量化、KV压缩、投机推理、PD分离、vLLM/SGLang；所有效率/可靠性表述均为研发目标
HUAWEI-002	keep	华为	算法专家（多模态/大模型/搜广推）	北京	28191	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=28191	official_careers_direct	A	官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开	core_ai_investment		正文明确多模态训练、训推协同、搜广推召回/粗排/精排/重排及上线支撑；性能精度为优化目标
HUAWEI-003	keep	华为	AI解决方案架构师	上海	27617	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=27617	official_careers_direct	A	官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开	core_ai_investment		正文明确搜索推荐客户场景、大模型与AI应用系统架构、ICT/云产品匹配及交付；高质量完成交付是职责预期
HUAWEI-004	keep	华为	昇腾计算高级技术专家	上海	32189	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=32189	official_careers_direct	A	官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开	core_ai_investment		正文明确AI编译器、训练/推理Runtime、算子库、异构芯片、显存调度、多卡分布式、KV Cache；硬件利用率/时延/吞吐均为优化目标
HUAWEI-005	keep	华为	供应链算法&AI应用专家	东莞	22643	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=22643	official_careers_direct	A	官方岗位详情数据本轮可由公开详情接口读取；页面HTML为JS壳；薪资未公开	core_ai_investment		正文为供应链领域IT解决方案、数据分析与算法模型部署；“业务价值认可”是职责验收要求，未给可量化现值
TENCENT-001	keep	腾讯/微信	微信安全-内容理解算法工程师-电商入驻审核	广州		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-24，覆盖多模态审核、SFT/RLHF/DPO、置信度分层、人机路由；机审决策率、准确率、效率、时效与吞吐均为优化目标
TENCENT-002	keep	腾讯/微信	微信安全-内容理解算法高级工程师-商业化审核	广州		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-24，覆盖多模态商业内容审核、LLM/VLM、评测闭环与人机协同；覆盖率和成本为目标
TENCENT-003	keep	腾讯/微信	微信安全-大模型算法工程师-内容风控方向	广州		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-24，覆盖公众号/小程序/搜索内容风险识别与人机协同；无已实现生产指标
TENCENT-004	keep	腾讯/微信	微信安全-大模型风控算法高级工程师-视频号安全方向	广州、深圳		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-24，并明确接受广州/深圳两地办公；安全系统与召回链路均为持续优化职责
TENCENT-005	keep	腾讯/微信	微信小游戏-大模型推荐算法工程师-商业化方向	广州		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-25，覆盖素材、召回、排序、重排、策略与生成式大模型；推荐效率与业务增长为目标
TENCENT-006	keep	腾讯/微信小店	微信小店-产品策划-数据产品方向	广州		https://careers.tencent.com/zh-cn/cityinfo.html?city=5	official_careers_index	C	官方城市页搜索索引含近期岗位正文，同时页面显示“目前暂时未有岗位开放”；实时存续冲突	core_ai_investment		shared_index_url；索引正文更新于2026-08-24，明确AI数据资产/分析与Agent化方案从原型到线上落地；持续优化产品效果为目标
XIAOMI-S01	keep	小米	大模型训练和推理框架			https://hr.xiaomi.com/website/top-talent.html	official_program	A	官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位	core_ai_investment		shared_program_url；原标题按官方课题逐字回填；页面未给城市、岗位ID或生产结果
XIAOMI-S02	keep	小米	认知-记忆-问答链路及自动评估体系研究			https://hr.xiaomi.com/website/top-talent.html	official_program	A	官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位	core_ai_investment		shared_program_url；原标题按官方课题逐字回填；“自动评估体系研究”是研究方向，不代表已有生产评测系统
XIAOMI-S03	keep	小米	AI Agent 与操作系统深度集成			https://hr.xiaomi.com/website/top-talent.html	official_program	A	官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位	core_ai_investment		shared_program_url；原标题按官方课题逐字回填；未给城市、岗位ID或生产结果
XIAOMI-S04	keep	小米	百亿级 IoT 设备协议统一与边缘 AI 调度			https://hr.xiaomi.com/website/top-talent.html	official_program	A	官方“全球顶尖人才”项目原页本轮可读；前沿研究课题，非独立岗位	core_ai_investment		shared_program_url；“百亿级”是官方课题命名中的目标规模，不作为已实现生产指标
