采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-LASER-500-P-202301-1,2023-01-08,模拟原料商1,钢板,92000.0,6,552000,71760,623760,KS-LASER-500-P-202301-1-INV,KS-LASER-500-P-202301-1-GRN,SYNTHETIC
KS-LASER-500-P-202301-2,2023-01-08,模拟原料商2,钢板,61333.333,6,368000,47840,415840,KS-LASER-500-P-202301-2-INV,KS-LASER-500-P-202301-2-GRN,SYNTHETIC
KS-LASER-500-P-202302-1,2023-02-08,模拟原料商1,钢板,82800.0,6,496800,64584,561384,KS-LASER-500-P-202302-1-INV,KS-LASER-500-P-202302-1-GRN,SYNTHETIC
KS-LASER-500-P-202302-2,2023-02-08,模拟原料商2,钢板,55200.0,6,331200,43056,374256,KS-LASER-500-P-202302-2-INV,KS-LASER-500-P-202302-2-GRN,SYNTHETIC
KS-LASER-500-P-202303-1,2023-03-08,模拟原料商1,钢板,117300.0,6,703800,91494,795294,KS-LASER-500-P-202303-1-INV,KS-LASER-500-P-202303-1-GRN,SYNTHETIC
KS-LASER-500-P-202303-2,2023-03-08,模拟原料商2,钢板,78200.0,6,469200,60996,530196,KS-LASER-500-P-202303-2-INV,KS-LASER-500-P-202303-2-GRN,SYNTHETIC
KS-LASER-500-P-202304-1,2023-04-08,模拟原料商1,钢板,121900.0,6,731400,95082,826482,KS-LASER-500-P-202304-1-INV,KS-LASER-500-P-202304-1-GRN,SYNTHETIC
KS-LASER-500-P-202304-2,2023-04-08,模拟原料商2,钢板,81266.667,6,487600,63388,550988,KS-LASER-500-P-202304-2-INV,KS-LASER-500-P-202304-2-GRN,SYNTHETIC
KS-LASER-500-P-202305-1,2023-05-08,模拟原料商1,钢板,126500.0,6,759000,98670,857670,KS-LASER-500-P-202305-1-INV,KS-LASER-500-P-202305-1-GRN,SYNTHETIC
KS-LASER-500-P-202305-2,2023-05-08,模拟原料商2,钢板,84333.333,6,506000,65780,571780,KS-LASER-500-P-202305-2-INV,KS-LASER-500-P-202305-2-GRN,SYNTHETIC
KS-LASER-500-P-202306-1,2023-06-08,模拟原料商1,钢板,120750.0,6,724500,94185,818685,KS-LASER-500-P-202306-1-INV,KS-LASER-500-P-202306-1-GRN,SYNTHETIC
KS-LASER-500-P-202306-2,2023-06-08,模拟原料商2,钢板,80500.0,6,483000,62790,545790,KS-LASER-500-P-202306-2-INV,KS-LASER-500-P-202306-2-GRN,SYNTHETIC
KS-LASER-500-P-202307-1,2023-07-08,模拟原料商1,钢板,124200.0,6,745200,96876,842076,KS-LASER-500-P-202307-1-INV,KS-LASER-500-P-202307-1-GRN,SYNTHETIC
KS-LASER-500-P-202307-2,2023-07-08,模拟原料商2,钢板,82800.0,6,496800,64584,561384,KS-LASER-500-P-202307-2-INV,KS-LASER-500-P-202307-2-GRN,SYNTHETIC
KS-LASER-500-P-202308-1,2023-08-08,模拟原料商1,钢板,124200.0,6,745200,96876,842076,KS-LASER-500-P-202308-1-INV,KS-LASER-500-P-202308-1-GRN,SYNTHETIC
KS-LASER-500-P-202308-2,2023-08-08,模拟原料商2,钢板,82800.0,6,496800,64584,561384,KS-LASER-500-P-202308-2-INV,KS-LASER-500-P-202308-2-GRN,SYNTHETIC
KS-LASER-500-P-202309-1,2023-09-08,模拟原料商1,钢板,119600.0,6,717600,93288,810888,KS-LASER-500-P-202309-1-INV,KS-LASER-500-P-202309-1-GRN,SYNTHETIC
KS-LASER-500-P-202309-2,2023-09-08,模拟原料商2,钢板,79733.333,6,478400,62192,540592,KS-LASER-500-P-202309-2-INV,KS-LASER-500-P-202309-2-GRN,SYNTHETIC
KS-LASER-500-P-202310-1,2023-10-08,模拟原料商1,钢板,117300.0,6,703800,91494,795294,KS-LASER-500-P-202310-1-INV,KS-LASER-500-P-202310-1-GRN,SYNTHETIC
KS-LASER-500-P-202310-2,2023-10-08,模拟原料商2,钢板,78200.0,6,469200,60996,530196,KS-LASER-500-P-202310-2-INV,KS-LASER-500-P-202310-2-GRN,SYNTHETIC
KS-LASER-500-P-202311-1,2023-11-08,模拟原料商1,钢板,121900.0,6,731400,95082,826482,KS-LASER-500-P-202311-1-INV,KS-LASER-500-P-202311-1-GRN,SYNTHETIC
KS-LASER-500-P-202311-2,2023-11-08,模拟原料商2,钢板,81266.667,6,487600,63388,550988,KS-LASER-500-P-202311-2-INV,KS-LASER-500-P-202311-2-GRN,SYNTHETIC
KS-LASER-500-P-202312-1,2023-12-08,模拟原料商1,钢板,126500.0,6,759000,98670,857670,KS-LASER-500-P-202312-1-INV,KS-LASER-500-P-202312-1-GRN,SYNTHETIC
KS-LASER-500-P-202312-2,2023-12-08,模拟原料商2,钢板,84333.333,6,506000,65780,571780,KS-LASER-500-P-202312-2-INV,KS-LASER-500-P-202312-2-GRN,SYNTHETIC
KS-LASER-500-P-202401-1,2024-01-08,模拟原料商1,钢板,96600.0,6,579600,75348,654948,KS-LASER-500-P-202401-1-INV,KS-LASER-500-P-202401-1-GRN,SYNTHETIC
KS-LASER-500-P-202401-2,2024-01-08,模拟原料商2,钢板,64400.0,6,386400,50232,436632,KS-LASER-500-P-202401-2-INV,KS-LASER-500-P-202401-2-GRN,SYNTHETIC
KS-LASER-500-P-202402-1,2024-02-08,模拟原料商1,钢板,86940.0,6,521640,67813,589453,KS-LASER-500-P-202402-1-INV,KS-LASER-500-P-202402-1-GRN,SYNTHETIC
KS-LASER-500-P-202402-2,2024-02-08,模拟原料商2,钢板,57960.0,6,347760,45209,392969,KS-LASER-500-P-202402-2-INV,KS-LASER-500-P-202402-2-GRN,SYNTHETIC
KS-LASER-500-P-202403-1,2024-03-08,模拟原料商1,钢板,123165.0,6,738990,96068,835058,KS-LASER-500-P-202403-1-INV,KS-LASER-500-P-202403-1-GRN,SYNTHETIC
KS-LASER-500-P-202403-2,2024-03-08,模拟原料商2,钢板,82110.0,6,492660,64046,556706,KS-LASER-500-P-202403-2-INV,KS-LASER-500-P-202403-2-GRN,SYNTHETIC
KS-LASER-500-P-202404-1,2024-04-08,模拟原料商1,钢板,127995.0,6,767970,99836,867806,KS-LASER-500-P-202404-1-INV,KS-LASER-500-P-202404-1-GRN,SYNTHETIC
KS-LASER-500-P-202404-2,2024-04-08,模拟原料商2,钢板,85330.0,6,511980,66558,578538,KS-LASER-500-P-202404-2-INV,KS-LASER-500-P-202404-2-GRN,SYNTHETIC
KS-LASER-500-P-202405-1,2024-05-08,模拟原料商1,钢板,132825.0,6,796950,103603,900553,KS-LASER-500-P-202405-1-INV,KS-LASER-500-P-202405-1-GRN,SYNTHETIC
KS-LASER-500-P-202405-2,2024-05-08,模拟原料商2,钢板,88550.0,6,531300,69069,600369,KS-LASER-500-P-202405-2-INV,KS-LASER-500-P-202405-2-GRN,SYNTHETIC
KS-LASER-500-P-202406-1,2024-06-08,模拟原料商1,钢板,126787.5,6,760725,98894,859619,KS-LASER-500-P-202406-1-INV,KS-LASER-500-P-202406-1-GRN,SYNTHETIC
KS-LASER-500-P-202406-2,2024-06-08,模拟原料商2,钢板,84525.0,6,507150,65930,573080,KS-LASER-500-P-202406-2-INV,KS-LASER-500-P-202406-2-GRN,SYNTHETIC
