流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-INJECTION-1000-B0001,2023-01-12,KS-INJECTION-1000-S-202301-1,模拟下游1,销售回款,1290912,0,4290912,CNY,SYNTHETIC
KS-INJECTION-1000-B0002,2023-01-13,KS-INJECTION-1000-S-202301-2,模拟下游2,销售回款,1252944,0,5543856,CNY,SYNTHETIC
KS-INJECTION-1000-B0003,2023-01-14,KS-INJECTION-1000-S-202301-3,模拟下游3,销售回款,1252944,0,6796800,CNY,SYNTHETIC
KS-INJECTION-1000-B0004,2023-01-16,KS-INJECTION-1000-P-202301-1,模拟原料商1,原料付款,0,979574,5817226,CNY,SYNTHETIC
KS-INJECTION-1000-B0005,2023-01-17,KS-INJECTION-1000-P-202301-2,模拟原料商2,原料付款,0,653050,5164176,CNY,SYNTHETIC
KS-INJECTION-1000-B0006,2023-01-25,KS-INJECTION-1000-PAY-202301,模拟工资代发,工资,0,520000,4644176,CNY,SYNTHETIC
KS-INJECTION-1000-B0007,2023-01-25,KS-INJECTION-1000-ELEC-202301,模拟供电结算,电费,0,208000,4436176,CNY,SYNTHETIC
KS-INJECTION-1000-B0008,2023-01-25,KS-INJECTION-1000-OPEX-202301,模拟费用结算,管理销售费用,0,320000,4116176,CNY,SYNTHETIC
KS-INJECTION-1000-B0009,2023-01-25,KS-INJECTION-1000-INT-202301,模拟融资机构,利息,0,25000,4091176,CNY,SYNTHETIC
KS-INJECTION-1000-B0010,2023-01-25,KS-INJECTION-1000-VAT-202301,模拟税费账户,增值税,0,248976,3842200,CNY,SYNTHETIC
KS-INJECTION-1000-B0011,2023-01-25,KS-INJECTION-1000-CIT-202301,模拟税费账户,所得税,0,165550,3676650,CNY,SYNTHETIC
KS-INJECTION-1000-B0012,2023-02-12,KS-INJECTION-1000-S-202302-1,模拟下游1,销售回款,1161821,0,4838471,CNY,SYNTHETIC
KS-INJECTION-1000-B0013,2023-02-13,KS-INJECTION-1000-S-202302-2,模拟下游2,销售回款,1127650,0,5966121,CNY,SYNTHETIC
KS-INJECTION-1000-B0014,2023-02-14,KS-INJECTION-1000-S-202302-3,模拟下游3,销售回款,1127649,0,7093770,CNY,SYNTHETIC
KS-INJECTION-1000-B0015,2023-02-16,KS-INJECTION-1000-P-202302-1,模拟原料商1,原料付款,0,881617,6212153,CNY,SYNTHETIC
KS-INJECTION-1000-B0016,2023-02-17,KS-INJECTION-1000-P-202302-2,模拟原料商2,原料付款,0,587745,5624408,CNY,SYNTHETIC
KS-INJECTION-1000-B0017,2023-02-25,KS-INJECTION-1000-PAY-202302,模拟工资代发,工资,0,520000,5104408,CNY,SYNTHETIC
KS-INJECTION-1000-B0018,2023-02-25,KS-INJECTION-1000-ELEC-202302,模拟供电结算,电费,0,187200,4917208,CNY,SYNTHETIC
KS-INJECTION-1000-B0019,2023-02-25,KS-INJECTION-1000-OPEX-202302,模拟费用结算,管理销售费用,0,320000,4597208,CNY,SYNTHETIC
KS-INJECTION-1000-B0020,2023-02-25,KS-INJECTION-1000-INT-202302,模拟融资机构,利息,0,25000,4572208,CNY,SYNTHETIC
KS-INJECTION-1000-B0021,2023-02-25,KS-INJECTION-1000-VAT-202302,模拟税费账户,增值税,0,224078,4348130,CNY,SYNTHETIC
KS-INJECTION-1000-B0022,2023-02-25,KS-INJECTION-1000-CIT-202302,模拟税费账户,所得税,0,122870,4225260,CNY,SYNTHETIC
KS-INJECTION-1000-B0023,2023-03-12,KS-INJECTION-1000-S-202303-1,模拟下游1,销售回款,1645913,0,5871173,CNY,SYNTHETIC
KS-INJECTION-1000-B0024,2023-03-13,KS-INJECTION-1000-S-202303-2,模拟下游2,销售回款,1597504,0,7468677,CNY,SYNTHETIC
KS-INJECTION-1000-B0025,2023-03-14,KS-INJECTION-1000-S-202303-3,模拟下游3,销售回款,1597503,0,9066180,CNY,SYNTHETIC
KS-INJECTION-1000-B0026,2023-03-16,KS-INJECTION-1000-P-202303-1,模拟原料商1,原料付款,0,1248958,7817222,CNY,SYNTHETIC
KS-INJECTION-1000-B0027,2023-03-17,KS-INJECTION-1000-P-202303-2,模拟原料商2,原料付款,0,832638,6984584,CNY,SYNTHETIC
KS-INJECTION-1000-B0028,2023-03-25,KS-INJECTION-1000-PAY-202303,模拟工资代发,工资,0,520000,6464584,CNY,SYNTHETIC
KS-INJECTION-1000-B0029,2023-03-25,KS-INJECTION-1000-ELEC-202303,模拟供电结算,电费,0,265200,6199384,CNY,SYNTHETIC
