seed_record_id	keep_or_drop	company	title	city	job_id	url	source_type	evidence_grade	evidence_status	ai_relevance	production_metrics	notes
BAIDU-001	keep	百度	云原生 Agent Infra 高级研发工程师	北京、上海	J100117	https://talent.baidu.com/jobs/detail/SOCIAL/4b326f6b-2c39-461c-ae64-69b4201c680e	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	并发能力;弹性伸缩效率;整体稳定性;诊断效率;自动恢复能力;多租户隔离	职责正文直接支持；生产运行指标维度，无公开阈值
BAIDU-002	keep	百度	智能体算法工程师	北京	J101447	https://talent.baidu.com/jobs/detail/SOCIAL/78b2b775-4c6f-4554-87ea-d7133ae4a211	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	工具选择准确率;参数生成准确率;多工具编排稳定性	职责正文直接支持；生产效果指标维度，无公开阈值
BAIDU-003	keep	百度	AI Agent 算法工程师	北京	J99071	https://talent.baidu.com/jobs/detail/SOCIAL/c8821b51-c061-4652-8fad-61d8a49b9f52	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	办公任务执行效果;场景适配能力	职责正文直接支持；效果指标维度，无公开阈值
BAIDU-004	keep	百度	Summer Camp - Agentic RL / 大模型平台策略推理优化实习生	北京	J100476	https://talent.baidu.com/jobs/detail/INTERN/52415af4-405a-4f07-8392-d4b63e76df8c	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	推理成本;推理效率;复杂任务成功率;鲁棒性;真实用户反馈闭环	岗位正文明确对齐真实业务 Agent 与用户反馈，无公开阈值
BAIDU-005	keep	百度	多模态大模型研发工程师	北京、上海	J97395	https://talent.baidu.com/jobs/detail/SOCIAL/59e29a75-8bbd-4346-bb26-80c39a9992e5	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	产品效果;研发效率;资源利用率	职责正文直接支持；能力平台化属于建设目标，不计为指标
BAIDU-006	keep	百度智能云	AI算力与大模型产品解决方案	北京、上海、深圳	J97266	https://talent.baidu.com/jobs/detail/SOCIAL/a20c009e-7e87-4e38-98b0-7fab767752f5	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	客户成功;项目风险	资源协同和标准产品沉淀为交付要求，不作为生产指标
BAIDU-007	keep	百度智能云	百度智能云智慧工业解决方案架构师	北京、上海、深圳	J101421	https://talent.baidu.com/jobs/detail/SOCIAL/ea1b9710-431f-478a-861c-a68ceefaf1e8	official_careers_direct	A	官方详情本轮可读；2026-07-21；薪资未公开	core_ai_investment	POC到商业化;签约到规模化用云;销售目标;交付验收	业务漏斗与交付指标维度，无公开阈值
OPPO-001	keep	OPPO	AI研究员（AI多模态智能体）	深圳	1808	https://careers.oppo.com/university/oppo/campus/post/1808?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开	core_ai_investment	长程任务稳定性;长程任务成功率;Token消耗;执行时延;ROI	搜索索引直接复现标题、城市、日期和职责
OPPO-002	keep	OPPO	高级AI研究员（AI智能体）-博士	上海	1743	https://careers.oppo.com/university/oppo/campus/post/1743	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开	core_ai_investment		算法原型快速验证并工程落地属于研发预期，不计为生产指标
OPPO-003	keep	OPPO	AI工程师（AI Agent方向）	深圳、成都	1821	https://careers.oppo.com/university/oppo/campus/post/1821?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开	core_ai_investment	并发能力;性能;可用性;海量用户支撑	搜索索引直接复现系统级 Agent 服务端职责
OPPO-004	keep	OPPO	AI系统工程师（AI工程化方向）	南京、深圳	1843	https://careers.oppo.com/university/oppo/campus/post/1843?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开	core_ai_investment	性能;功耗;内存;量产落地	搜索索引直接复现 AIOS、端侧部署和量产职责
OPPO-005	keep	OPPO	高级AI研究员（智能体记忆和检索）-博士	深圳	1746	https://careers.oppo.com/university/oppo/campus/post/1746?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-07-15；薪资未公开	core_ai_investment		端到端设计、业务转化和研究落地属于研发预期，不计为生产指标
OPPO-006	keep	OPPO	应用开发工程师（AI Agent方向）	深圳	1600	https://careers.oppo.com/university/oppo/campus/post/1600?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-03-06；薪资未公开	core_ai_investment		职责写提效应用与性能瓶颈，但未给可观测指标或阈值，归为研发预期
OPPO-007	keep	OPPO	IT开发工程师（AI应用方向）		1580	https://careers.oppo.com/university/oppo/campus/post/1580?recruitType=Graduate	official_careers_index	C	官方详情 URL 为 JS 空页；搜索索引可读；2026-01-27；城市未返回；薪资未公开	ai_adjacent_transformation		场景可行性、工程实现与效果测试属于交付步骤，不计为生产指标
