订单号,客户,交付日,余额元,备注
OPENING-AR,模拟历史客户,2022-12-31,1000000,期初历史应收；当前未清偿，需核实可收回性
KS-LASER-500-S-202301-1,模拟下游1,2023-01-10,4158,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202301-2,模拟下游2,2023-01-10,3639,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202301-3,模拟下游3,2023-01-10,2599,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202302-1,模拟下游1,2023-02-10,3743,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202302-2,模拟下游2,2023-02-10,3275,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202302-3,模拟下游3,2023-02-10,2339,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202303-1,模拟下游1,2023-03-10,5302,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202303-2,模拟下游2,2023-03-10,4639,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202303-3,模拟下游3,2023-03-10,3314,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202304-1,模拟下游1,2023-04-10,5510,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202304-2,模拟下游2,2023-04-10,4821,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202304-3,模拟下游3,2023-04-10,3444,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202305-1,模拟下游1,2023-05-10,5718,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202305-2,模拟下游2,2023-05-10,5003,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202305-3,模拟下游3,2023-05-10,3574,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202306-1,模拟下游1,2023-06-10,5458,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202306-2,模拟下游2,2023-06-10,4776,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202306-3,模拟下游3,2023-06-10,3411,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202307-1,模拟下游1,2023-07-10,5614,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202307-2,模拟下游2,2023-07-10,4912,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202307-3,模拟下游3,2023-07-10,3509,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202308-1,模拟下游1,2023-08-10,5614,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202308-2,模拟下游2,2023-08-10,4912,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202308-3,模拟下游3,2023-08-10,3509,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202309-1,模拟下游1,2023-09-10,5406,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202309-2,模拟下游2,2023-09-10,4730,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202309-3,模拟下游3,2023-09-10,3379,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202310-1,模拟下游1,2023-10-10,5302,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202310-2,模拟下游2,2023-10-10,4639,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202310-3,模拟下游3,2023-10-10,3314,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202311-1,模拟下游1,2023-11-10,5510,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202311-2,模拟下游2,2023-11-10,4821,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202311-3,模拟下游3,2023-11-10,3444,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202312-1,模拟下游1,2023-12-10,5718,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202312-2,模拟下游2,2023-12-10,5003,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202312-3,模拟下游3,2023-12-10,3574,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202401-1,模拟下游1,2024-01-10,4366,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202401-2,模拟下游2,2024-01-10,3821,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202401-3,模拟下游3,2024-01-10,2729,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202402-1,模拟下游1,2024-02-10,3930,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202402-2,模拟下游2,2024-02-10,3438,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202402-3,模拟下游3,2024-02-10,2456,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202403-1,模拟下游1,2024-03-10,5567,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202403-2,模拟下游2,2024-03-10,4871,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202403-3,模拟下游3,2024-03-10,3479,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202404-1,模拟下游1,2024-04-10,5785,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202404-2,模拟下游2,2024-04-10,5062,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202404-3,模拟下游3,2024-04-10,3616,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202405-1,模拟下游1,2024-05-10,6004,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202405-2,模拟下游2,2024-05-10,5253,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202405-3,模拟下游3,2024-05-10,3752,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202406-1,模拟下游1,2024-06-10,5731,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202406-2,模拟下游2,2024-06-10,5014,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202406-3,模拟下游3,2024-06-10,3582,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202407-1,模拟下游1,2024-07-10,5895,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202407-2,模拟下游2,2024-07-10,5158,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202407-3,模拟下游3,2024-07-10,3684,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202408-1,模拟下游1,2024-08-10,5895,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202408-2,模拟下游2,2024-08-10,5158,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202408-3,模拟下游3,2024-08-10,3684,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202409-1,模拟下游1,2024-09-10,5676,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202409-2,模拟下游2,2024-09-10,4967,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202409-3,模拟下游3,2024-09-10,3548,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202410-1,模拟下游1,2024-10-10,5567,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202410-2,模拟下游2,2024-10-10,4871,本期未收尾款；历史尾款持续未清需解释
KS-LASER-500-S-202410-3,模拟下游3,2024-10-10,3479,本期未收尾款；历史尾款持续未清需解释
