流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-LASER-500-B0001,2023-01-12,KS-LASER-500-S-202301-1,模拟下游1,销售回款,827522,0,2327522,CNY,SYNTHETIC
KS-LASER-500-B0002,2023-01-13,KS-LASER-500-S-202301-2,模拟下游2,销售回款,724081,0,3051603,CNY,SYNTHETIC
KS-LASER-500-B0003,2023-01-14,KS-LASER-500-S-202301-3,模拟下游3,销售回款,517201,0,3568804,CNY,SYNTHETIC
KS-LASER-500-B0004,2023-01-16,KS-LASER-500-P-202301-1,模拟原料商1,原料付款,0,623760,2945044,CNY,SYNTHETIC
KS-LASER-500-B0005,2023-01-17,KS-LASER-500-P-202301-2,模拟原料商2,原料付款,0,415840,2529204,CNY,SYNTHETIC
KS-LASER-500-B0006,2023-01-25,KS-LASER-500-PAY-202301,模拟工资代发,工资,0,350000,2179204,CNY,SYNTHETIC
KS-LASER-500-B0007,2023-01-25,KS-LASER-500-ELEC-202301,模拟供电结算,电费,0,120000,2059204,CNY,SYNTHETIC
KS-LASER-500-B0008,2023-01-25,KS-LASER-500-OPEX-202301,模拟费用结算,管理销售费用,0,180000,1879204,CNY,SYNTHETIC
KS-LASER-500-B0009,2023-01-25,KS-LASER-500-INT-202301,模拟融资机构,利息,0,20000,1859204,CNY,SYNTHETIC
KS-LASER-500-B0010,2023-01-25,KS-LASER-500-VAT-202301,模拟税费账户,增值税,0,119600,1739604,CNY,SYNTHETIC
KS-LASER-500-B0011,2023-01-25,KS-LASER-500-CIT-202301,模拟税费账户,所得税,0,40000,1699604,CNY,SYNTHETIC
KS-LASER-500-B0012,2023-02-12,KS-LASER-500-S-202302-1,模拟下游1,销售回款,744769,0,2444373,CNY,SYNTHETIC
KS-LASER-500-B0013,2023-02-13,KS-LASER-500-S-202302-2,模拟下游2,销售回款,651673,0,3096046,CNY,SYNTHETIC
KS-LASER-500-B0014,2023-02-14,KS-LASER-500-S-202302-3,模拟下游3,销售回款,465481,0,3561527,CNY,SYNTHETIC
KS-LASER-500-B0015,2023-02-16,KS-LASER-500-P-202302-1,模拟原料商1,原料付款,0,561384,3000143,CNY,SYNTHETIC
KS-LASER-500-B0016,2023-02-17,KS-LASER-500-P-202302-2,模拟原料商2,原料付款,0,374256,2625887,CNY,SYNTHETIC
KS-LASER-500-B0017,2023-02-25,KS-LASER-500-PAY-202302,模拟工资代发,工资,0,350000,2275887,CNY,SYNTHETIC
KS-LASER-500-B0018,2023-02-25,KS-LASER-500-ELEC-202302,模拟供电结算,电费,0,108000,2167887,CNY,SYNTHETIC
KS-LASER-500-B0019,2023-02-25,KS-LASER-500-OPEX-202302,模拟费用结算,管理销售费用,0,180000,1987887,CNY,SYNTHETIC
KS-LASER-500-B0020,2023-02-25,KS-LASER-500-INT-202302,模拟融资机构,利息,0,20000,1967887,CNY,SYNTHETIC
KS-LASER-500-B0021,2023-02-25,KS-LASER-500-VAT-202302,模拟税费账户,增值税,0,107640,1860247,CNY,SYNTHETIC
KS-LASER-500-B0022,2023-02-25,KS-LASER-500-CIT-202302,模拟税费账户,所得税,0,20000,1840247,CNY,SYNTHETIC
KS-LASER-500-B0023,2023-03-12,KS-LASER-500-S-202303-1,模拟下游1,销售回款,1055090,0,2895337,CNY,SYNTHETIC
KS-LASER-500-B0024,2023-03-13,KS-LASER-500-S-202303-2,模拟下游2,销售回款,923204,0,3818541,CNY,SYNTHETIC
KS-LASER-500-B0025,2023-03-14,KS-LASER-500-S-202303-3,模拟下游3,销售回款,659431,0,4477972,CNY,SYNTHETIC
KS-LASER-500-B0026,2023-03-16,KS-LASER-500-P-202303-1,模拟原料商1,原料付款,0,795294,3682678,CNY,SYNTHETIC
KS-LASER-500-B0027,2023-03-17,KS-LASER-500-P-202303-2,模拟原料商2,原料付款,0,530196,3152482,CNY,SYNTHETIC
KS-LASER-500-B0028,2023-03-25,KS-LASER-500-PAY-202303,模拟工资代发,工资,0,350000,2802482,CNY,SYNTHETIC
KS-LASER-500-B0029,2023-03-25,KS-LASER-500-ELEC-202303,模拟供电结算,电费,0,153000,2649482,CNY,SYNTHETIC
KS-LASER-500-B0030,2023-03-25,KS-LASER-500-OPEX-202303,模拟费用结算,管理销售费用,0,180000,2469482,CNY,SYNTHETIC
KS-LASER-500-B0031,2023-03-25,KS-LASER-500-INT-202303,模拟融资机构,利息,0,20000,2449482,CNY,SYNTHETIC
KS-LASER-500-B0032,2023-03-25,KS-LASER-500-VAT-202303,模拟税费账户,增值税,0,152490,2296992,CNY,SYNTHETIC
