evidence_id,scenes,publisher,title,source_type,evidence_grade,url_or_locator,accessed_at,supported_claims,limitations
MKT-001,"S04;S05;S06;S07;S08;S09;S10","见微 P1 既有研究","P1：中国 AI 岗位市场重研","可复算候选池/本地派生","B","C:\Users\22673\Desktop\Anthropic\P1-市场重研.md","2026-08-27","剔除前三后，845 条严格样本聚为七类；给出样本量、公司数、高薪与当前性信号","搜索候选不等于逐页核验在招；工作流字段不足"
MKT-002,"S01;S02;S03;S04;S05;S06;S07;S08;S09","见微既有研究","中国 AI 招聘市场证据库与业务研究报告（91 条）","核验岗位/官方材料登记","B","C:\Users\22673\Desktop\Anthropic\sources\research\china-ai-market\outputs\中国AI招聘市场证据库-2026-08-26.md","2026-08-27","91 条有效记录含 45 条 A 级官方详情，支持企业 AI 投入、岗位与技术路线信号","招聘文本是投入代理，不证明完整组织或流程"
RC-001,S01,"国家金融监督管理总局","商业银行互联网贷款管理暂行办法","监管规章","A","https://www.nfra.gov.cn/cn/view/pages/rulesDetail.html?docId=916525&itemId=4214","2026-08-27","董事会承担最终责任；风险模型自动审批需要人工复核验证机制；要求反欺诈监测与模型规则完善","适用于商业银行互联网贷款，不等于所有企业风控"
RC-002,S01,"国家金融监督管理总局","关于加强商业银行互联网助贷业务管理提升金融服务质效的通知","监管通知","A","https://app.www.gov.cn/govdata/gov/202504/04/526105/article.html","2026-08-27","总行集中管理并明确主责部门；平台准入需尽调和从严审批；指标包括不良率、形成率、代偿赔付率","聚焦互联网助贷合作模式"
RC-003,S01,"平安银行","互联网贷款新规后新一贷快贷全新上线","企业官方流程案例","B","https://bank.pingan.com/about/news/1601344224551.shtml","2026-08-27","申请、征信、三方数据调查、必要时远程人工复核、面签、数据核对和资料补充形成流程链","企业自报案例；2020 年材料，指标需视为历史案例"
RC-004,S01,"平安集团/平安银行","Ping An Bank Wins Gartner Innovation Award for Financial Services","企业官方案例","B","https://pagroup.pingan.com/media/news/News-2020/Ping-An-Bank-Wins-Gartner-Innovation-Award-for-Financial-Services.html","2026-08-27","预警信号推送、风险筛查、确认是否预警、采取控制措施、解除预警构成闭环；结合机器与专家经验","企业自报成效，未见独立审计底稿"
RC-005,S01,"京东科技","产品经理（交易与内容风险）","官方岗位详情/本地核验","B","https://zhaopin.jd.com/web/job-info-detail?requementId=221791","2026-08-27","反欺诈、反洗钱和内容安全属于企业 AI 产品岗位的真实职责信号","岗位可能下线；不能独立还原权限与流程"
RD-001,S02,"华为云","什么是华为云码道 CodeArts","企业官方产品文档","B","https://support.huaweicloud.com/productdesc-devcloud/devcloud_pdtd_00001.html","2026-08-27","软件交付覆盖需求下发、代码提交、检查、编译、验证、部署、发布并提供端到端作业数据","产品能力描述不等于客户实际采用效果"
RD-002,S02,"华为云","HE2E DevOps 实践：管理需求—准备工作","企业官方最佳实践","B","https://support.huaweicloud.com/intl/zh-cn/bestpractice-projectman/codeartsreq_practice_1034.html","2026-08-27","列出产品负责人、项目经理、开发人员、测试人员及职责，并演示角色权限分配","示例项目而非特定客户生产流程"
RD-003,S02,"华为云","测试生命周期管理：IPD 测试流程与实践","企业官方方法文档","B","https://support.huaweicloud.com/usermanual-testman/cloudtest_01_1502.html","2026-08-27","需求分析至版本发布的测试流程；含技术评审、缺陷修复和发布准备检查点","华为方法与产品文档，跨企业适用性需验证"
RD-004,S02,"中国信息通信研究院","企业数字化治理应用发展报告（2021）","研究院白皮书/案例","A","https://www.caict.ac.cn/kxyj/qwfb/ztbg/202107/P020210722609947397097.pdf","2026-08-27","企业 DevOps 实践贯通敏捷需求、版本、构建、自动化测试、代码质量、部署发布和运营监控","案例经过报告归纳；组织细节有限"
RD-005,S02,"Gitee","如何用 Gitee 企业版管理软件研发全流程","企业官方实践","B","https://blog.gitee.com/2019/04/16/gitee-enterprise-usage/","2026-08-27","明确需求、迭代、任务、编码、审查、部署、测试、发布及负责人和交付物关联","较早的产品实践文章；不含 AI Agent 权责"
