record_id	company	source_type	url	result	notes
BAIDU-001	百度	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/4b326f6b-2c39-461c-ae64-69b4201c680e	success	官方详情本轮可读，标题、城市、日期和职责均返回
BAIDU-002	百度	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/78b2b775-4c6f-4554-87ea-d7133ae4a211	success	官方详情本轮可读，Agent职责与指标维度可见
BAIDU-003	百度	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/c8821b51-c061-4652-8fad-61d8a49b9f52	success	官方详情本轮可读，办公Agent职责可见
BAIDU-004	百度	official_careers_direct	https://talent.baidu.com/jobs/detail/INTERN/52415af4-405a-4f07-8392-d4b63e76df8c	success	官方详情本轮可读，真实业务Agentic RL与用户反馈闭环可见
BAIDU-005	百度	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/59e29a75-8bbd-4346-bb26-80c39a9992e5	success	官方详情本轮可读，多模态模型与资源利用率职责可见
BAIDU-006	百度智能云	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/a20c009e-7e87-4e38-98b0-7fab767752f5	success	官方详情本轮可读，AI算力与客户成功职责可见
BAIDU-007	百度智能云	official_careers_direct	https://talent.baidu.com/jobs/detail/SOCIAL/ea1b9710-431f-478a-861c-a68ceefaf1e8	success	官方详情本轮可读，工业Agentic AI与商业化职责可见
OPPO-001	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1808?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持标题、城市、日期和职责
OPPO-002	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1743	js_empty	直接URL为JS空页；官方搜索索引可读并支持智能体记忆职责
OPPO-003	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1821?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持系统级Agent职责
OPPO-004	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1843?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持AIOS与量产职责
OPPO-005	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1746?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持记忆检索职责
OPPO-006	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1600?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持AI Coding职责
OPPO-007	OPPO	official_careers_index	https://careers.oppo.com/university/oppo/campus/post/1580?recruitType=Graduate	js_empty	直接URL为JS空页；官方搜索索引可读并支持企业IT AI重构职责
BOSS-001	华尔街见闻	BOSS_search_index	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	success	BOSS公开索引本轮可读，标题、公司、城市与200-260K·24薪可见；详情页仍有安全校验
BOSS-008	BOSS直聘	BOSS_search_index	https://m.zhipin.com/zhaopin/02bb009a5a3098381nF93Nu0Eg~~/	success	BOSS公开索引本轮可读，AI-Agent平台技术负责人标题与70-100K·16薪可见
BYTE-001	字节跳动 Seed	official_careers_index	https://seed.bytedance.com/zh/career	success	官方Seed招聘页本轮可读；仅岗位索引，无详情展开
BYTE-007	字节跳动 Seed	official_careers_direct	https://joinbytedance.com/search/7610960133552654597	internal_error	本次打开返回Internal Error；核验阶段官方详情曾直接可读，保留A级但记录波动
BYTE-016	字节跳动全球电商	official_careers_direct	https://joinbytedance.com/search/7621874043991132421	internal_error	本次打开返回Internal Error；核验阶段官方详情曾直接可读，保留A级但记录波动
HUAWEI-001	华为	official_careers_direct	https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=28183	internal_error	直接页本次返回Internal Error；核验阶段公开详情接口可读
TENCENT-001	腾讯/微信	official_careers_index	https://careers.tencent.com/zh-cn/cityinfo.html?city=5	index_conflict	直接页为JS空页；搜索索引同时有近期岗位正文和暂无开放提示，不能声称实时在招
ALI-001	阿里巴巴智能引擎 AI Infra	official_careers_index	https://talent-holding.alibaba.com/off-campus/position-detail?positionId=1038409	internal_error	详情本次返回Internal Error；官方ROCK索引支持positionId和岗位方向
ALI-007	阿里巴巴集团	official_careers_index	https://campus-talent.alibaba.com/campus/position/199903540003	js_empty	官方详情为JS空页；官方搜索索引正文可读
JD-001	京东	official_careers_direct	https://zhaopin.jd.com/web/job-info-detail?requementId=212557	success	官方岗位详情本轮可读
JD-009	京东科技	official_careers_direct	https://zhaopin.jd.com/web/job-info-detail?requementId=219504	success	官方岗位详情本轮可读，用户/商家规模与7×24场景可见
XIAOMI-S01	小米	official_program	https://hr.xiaomi.com/website/top-talent.html	success	官方顶尖人才项目页本轮可读；保持strategy_topic，不冒充岗位
MEITUAN-S01	美团 LongCat	official_program	https://zhaopin.meituan.com/longcatprogram	internal_error	本次打开返回Internal Error；官方项目搜索索引可读，保持strategy_topic
MEITUAN-S02	美团 CatPaw	official_product_signal	https://tech.meituan.com/2026/07/28/CatPaw-LongCat.html	success	官方技术文章本轮可读，内部员工与Agent规模信号可见
