seed_record_id	keep_or_drop	company	title	city	job_id	url	source_type	evidence_grade	evidence_status	ai_relevance	production_metrics	salary_text	monthly_min_k	monthly_max_k	salary_months	notes
BOSS-001	keep	华尔街见闻	AI 平台架构师 / 系统架构师 / CTO	上海静安区南京西路	1975f34d0335cbd103x829u6FVVZ	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		200-260K·24薪	200	260	24	索引明确支持标题、公司、城市与薪资；种子详情URL本轮跳转security页；shared_index_url（与BOSS-002/003/015/018/023共用）
BOSS-002	keep	NIO蔚来	AI 系统架构师（智能车控方向）	上海嘉定区安亭	a56a1d90d6f94d690nF639m9GVBZ	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		100-150K·13薪	100	150	13	索引明确支持标题、公司、城市与薪资；详情链接可提取ID但正文被security页拦截；shared_index_url
BOSS-003	keep	哈啰普惠	AI 架构高阶岗位	上海闵行区莘庄	d2c6cfef7d79a80b03F42dy_F1VX	https://m.zhipin.com/zhaopin/3cf152b283430a451HF_39W6GA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		100-150K·15薪	100	150	15	索引正文支持多租户与服务自助化AI平台；种子原标题已按索引更正；shared_index_url
BOSS-004	keep	道通科技	AI Agent 平台架构师	深圳南山区科技园	385e896c623aeec30nRz3d-4GVVX	https://www.zhipin.com/zhaopin/4c10a9367efd2f551H163d66EA~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		80-110K·15薪	80	110	15	索引明确支持标题、公司、城市与薪资；对标Manus属于岗位定位而非生产指标；shared_index_url（与BOSS-012共用）
BOSS-005	drop	波克城市	AI Agent平台架构师	上海			BOSS_snippet_only	D	精确标题、公司与薪资组合本轮无法复现；不进入有效库	core_ai_investment						以公司、标题、80-110K·15薪及Gateway/MCP/Runtime等组合检索，仅出现波克城市其他岗位或其他公司的Agent岗位；疑似跨记录拼接
BOSS-006	keep	华为技术有限公司	AI架构师	上海	c376401b0e271d9c03183di9EFZV	https://m.zhipin.com/zhaopin/ee05903da97c0a6c1nJ629u8Ew~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		75-100K·16薪	75	100	16	索引明确支持Dense/MoE/Agent/RL/多模态训练负载与MFU优化；MFU仅为研发优化目标，未给现网数值，故production_metrics留空
BOSS-007	drop	北京人外人科技	AI Coding平台架构	深圳		https://www.zhipin.com/zhaopin/406c24f77b5ff90e0HJ40tW7/	BOSS_search_index	D	BOSS索引可读但不支持种子标题、城市与薪资组合；不进入有效库	core_ai_investment						精确检索未复现75-100K·15薪的AI Coding架构岗；同公司可见CTO/AI算法科学家等不同岗位、不同城市和薪资，不能替代
BOSS-008	keep	BOSS直聘	AI-Agent平台技术负责人	北京朝阳区太阳宫	44f1a19bd12905e303B_0tq9E1pT	https://m.zhipin.com/zhaopin/02bb009a5a3098381nF93Nu0Eg~~/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		70-100K·16薪	70	100	16	索引明确支持大模型接入、评测、MCP、多模态与低延迟要求；低延迟未给阈值，非明确生产指标；shared_index_url（与BOSS-010共用）
BOSS-009	keep	小米	AI系统架构师/大模型算法研究员	北京海淀区清河	555c16cda29739f90nZ429q9FVdT	https://www.zhipin.com/zhaopin/9dc2a4564b5ea7a33n170tq6/	BOSS_search_index	C	BOSS搜索索引本轮可读；详情页跳转安全校验；岗位存续需复核	core_ai_investment		70-100K·16薪	70	100	16	索引明确支持预训练大模型、微调部署与多模态交互；标题已按索引补全
BOSS-010	keep	BOSS直聘	大模型AI Infra技术负责人	北京朝阳区太阳宫		https://m.zhipin.com/zhaopin/02bb009a5a3098381nF93Nu0Eg~~/	BOSS_search_index	C	BOSS搜索索引可复现有限字段；薪资月数需更正；岗位存续需复核	core_ai_investment		70-100K	70	100		索引支持标题、公司、城市及70-100K，但未显示14薪；种子14薪无可复现依据，已清空；shared_index_url
