流水号,日期,关联单号,对手方,摘要,收入元,支出元,余额元,币种,标识
KS-TEXTILE-200-B0001,2023-01-12,KS-TEXTILE-200-S-202301-1,模拟下游1,销售回款,1047110,0,1847110,CNY,SYNTHETIC
KS-TEXTILE-200-B0002,2023-01-13,KS-TEXTILE-200-S-202301-2,模拟下游2,销售回款,402734,0,2249844,CNY,SYNTHETIC
KS-TEXTILE-200-B0003,2023-01-14,KS-TEXTILE-200-S-202301-3,模拟下游3,销售回款,161095,0,2410939,CNY,SYNTHETIC
KS-TEXTILE-200-B0004,2023-01-16,KS-TEXTILE-200-P-202301-1,模拟原料商1,原料付款,0,634613,1776326,CNY,SYNTHETIC
KS-TEXTILE-200-B0005,2023-01-17,KS-TEXTILE-200-P-202301-2,模拟原料商2,原料付款,0,423074,1353252,CNY,SYNTHETIC
KS-TEXTILE-200-B0006,2023-01-25,KS-TEXTILE-200-PAY-202301,模拟工资代发,工资,0,140000,1213252,CNY,SYNTHETIC
KS-TEXTILE-200-B0007,2023-01-25,KS-TEXTILE-200-ELEC-202301,模拟供电结算,电费,0,88000,1125252,CNY,SYNTHETIC
KS-TEXTILE-200-B0008,2023-01-25,KS-TEXTILE-200-OPEX-202301,模拟费用结算,管理销售费用,0,90000,1035252,CNY,SYNTHETIC
KS-TEXTILE-200-B0009,2023-01-25,KS-TEXTILE-200-INT-202301,模拟融资机构,利息,0,32000,1003252,CNY,SYNTHETIC
KS-TEXTILE-200-B0010,2023-01-25,KS-TEXTILE-200-VAT-202301,模拟税费账户,增值税,0,65520,937732,CNY,SYNTHETIC
KS-TEXTILE-200-B0011,2023-01-25,KS-TEXTILE-200-CIT-202301,模拟税费账户,所得税,0,23501,914231,CNY,SYNTHETIC
KS-TEXTILE-200-B0012,2023-02-12,KS-TEXTILE-200-S-202302-1,模拟下游1,销售回款,942392,0,1856623,CNY,SYNTHETIC
KS-TEXTILE-200-B0013,2023-02-13,KS-TEXTILE-200-S-202302-2,模拟下游2,销售回款,362459,0,2219082,CNY,SYNTHETIC
KS-TEXTILE-200-B0014,2023-02-14,KS-TEXTILE-200-S-202302-3,模拟下游3,销售回款,144983,0,2364065,CNY,SYNTHETIC
KS-TEXTILE-200-B0015,2023-02-16,KS-TEXTILE-200-P-202302-1,模拟原料商1,原料付款,0,571146,1792919,CNY,SYNTHETIC
KS-TEXTILE-200-B0016,2023-02-17,KS-TEXTILE-200-P-202302-2,模拟原料商2,原料付款,0,380765,1412154,CNY,SYNTHETIC
KS-TEXTILE-200-B0017,2023-02-25,KS-TEXTILE-200-PAY-202302,模拟工资代发,工资,0,140000,1272154,CNY,SYNTHETIC
KS-TEXTILE-200-B0018,2023-02-25,KS-TEXTILE-200-ELEC-202302,模拟供电结算,电费,0,79200,1192954,CNY,SYNTHETIC
KS-TEXTILE-200-B0019,2023-02-25,KS-TEXTILE-200-OPEX-202302,模拟费用结算,管理销售费用,0,90000,1102954,CNY,SYNTHETIC
KS-TEXTILE-200-B0020,2023-02-25,KS-TEXTILE-200-INT-202302,模拟融资机构,利息,0,32000,1070954,CNY,SYNTHETIC
KS-TEXTILE-200-B0021,2023-02-25,KS-TEXTILE-200-VAT-202302,模拟税费账户,增值税,0,58968,1011986,CNY,SYNTHETIC
KS-TEXTILE-200-B0022,2023-02-25,KS-TEXTILE-200-CIT-202302,模拟税费账户,所得税,0,13100,998886,CNY,SYNTHETIC
KS-TEXTILE-200-B0023,2023-03-12,KS-TEXTILE-200-S-202303-1,模拟下游1,销售回款,1335064,0,2333950,CNY,SYNTHETIC
KS-TEXTILE-200-B0024,2023-03-13,KS-TEXTILE-200-S-202303-2,模拟下游2,销售回款,513485,0,2847435,CNY,SYNTHETIC
